 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 93, 83, 97, 87, 102, 89
 85, 81, 89, 85, 101, 87
 93, 89, 98, 91, 113, 95
 95, 85, 100, 89, 109, 92
 93, 81, 97, 85, 102, 249
 83, 79, 88, 83, 93, 87
 93, 87, 98, 92, 101, 103
 96, 87, 101, 90, 140, 93
 95, 83, 99, 87, 102, 95
 85, 81, 89, 85, 93, 87
 93, 89, 98, 91, 109, 95
 95, 85, 100, 89, 111, 93
 93, 81, 97, 85, 101, 95
 85, 79, 89, 83, 93, 87
 97, 87, 101, 90, 111, 94
 93, 87, 98, 93, 102, 103
 85, 81, 90, 85, 93, 87
 93, 83, 99, 85, 102, 89
 95, 85, 99, 89, 103, 93
 93, 87, 97, 92, 101, 95
 83, 79, 88, 83, 92, 87
 93, 81, 97, 85, 102, 89
 97, 85, 101, 89, 104, 93
 94, 87, 97, 92, 102, 95
 85, 79, 91, 84, 101, 87
 93, 83, 99, 87, 102, 89
 95, 85, 100, 89, 103, 92
 93, 89, 97, 92, 102, 95
 83, 79, 89, 83, 92, 93
 93, 81, 97, 85, 110, 89
 85, 79, 89, 85, 93, 97
 93, 81, 99, 85, 113, 95
 95, 85, 99, 89, 107, 92
 93, 87, 98, 93, 109, 96
 85, 81, 90, 85, 97, 95
 95, 83, 99, 87, 105, 96
 95, 87, 100, 90, 108, 93
 93, 87, 99, 93, 115, 103
 85, 79, 89, 83, 99, 86
 93, 81, 97, 85, 105, 89
 95, 85, 101, 89, 108, 92
 93, 87, 98, 91, 115, 95
 85, 81, 89, 85, 100, 87
 93, 81, 98, 87, 106, 96
 97, 87, 101, 90, 105, 93
 93, 89, 98, 93, 112, 96
 93, 81, 97, 85, 109, 89
 85, 79, 89, 83, 97, 93
 93, 87, 97, 91, 105, 95
 94, 85, 101, 89, 114, 92
 93, 83, 99, 87, 109, 90
 85, 81, 89, 85, 95, 93
 93, 87, 98, 92, 109, 103
 95, 85, 101, 93, 107, 103
 93, 81, 97, 85, 109, 89
 85, 79, 89, 83, 100, 86
 93, 87, 98, 91, 107, 95
 95, 85, 100, 89, 107, 92
 95, 83, 99, 87, 105, 89
 85, 81, 89, 85, 97, 87
 93, 87, 97, 91, 106, 96
 95, 87, 101, 91, 107, 93
 95, 85, 100, 89, 110, 93
 93, 87, 99, 93, 104, 101
 85, 81, 89, 83, 95, 87
 93, 81, 97, 85, 109, 89
 97, 85, 101, 91, 111, 94
 93, 87, 97, 91, 103, 95
 85, 79, 89, 84, 97, 87
 93, 83, 98, 87, 104, 89
 95, 85, 100, 89, 107, 93
 93, 87, 97, 91, 104, 95
 85, 79, 89, 83, 101, 87
 93, 81, 97, 85, 107, 89
 97, 86, 102, 90, 113, 95
 93, 89, 97, 92, 105, 95
 85, 81, 89, 85, 101, 87
 95, 83, 99, 86, 106, 90
 93, 87, 99, 91, 106, 99
 95, 85, 99, 89, 107, 92
 93, 81, 97, 85, 105, 89
 85, 79, 89, 83, 95, 87
 93, 89, 97, 91, 105, 95
 97, 87, 101, 90, 105, 93
 94, 83, 99, 86, 119, 89
 85, 79, 89, 85, 95, 88
 93, 87, 97, 91, 138, 95
 93, 85, 100, 89, 107, 92
 93, 81, 97, 85, 112, 89
 85, 79, 89, 83, 96, 86
 94, 87, 99, 91, 115, 95
